pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-09-30,90.6,2.01,6.22,"Crochet, Garrett",641355,676979,field_out,hit_into_play,,,,,6,Cody Bellinger pops out to shortstop Trevor Story.,F,L,L,NYY,BOS,X,6.0,popup,1,1,2025,-0.31,0.17,0.28,2.66,,,,0,7,Bot,130.73,138.03,,,,,-3.71073631296109,-132.02290388991875,-3.3896678637731465,-2.874029346439781,27.258130180867823,-29.70680676833237,3.8,1.78,158.0,78.6,61.0,92.1,2338,7.1,813074,665966,663993,686765,608324,596115,680776,678882,681987,53.44,0.019,0.019,0.0,1.0,0.0,0.0,3.0,52,3,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,219,-0.059,-0.251,74.1,7.6,0.025,0.251,88.0,-1,-1,0.3640786211000077,0.3640786211000077,26,29,26,30,3,2,6,2,,1,2.59,-0.31,-0.31,40.7,12.090397797600913,-3.728437514598476,31.968505243470663,28.04579712507703,33.02444972730238
ST,2025-09-30,84.2,1.91,6.26,"Crochet, Garrett",641355,676979,,ball,,,,,13,Ball,F,L,L,NYY,BOS,B,,,0,1,2025,-1.21,-0.22,-1.59,1.98,,,,0,7,Bot,,,,,,,-5.7813030464594775,-122.45786232955264,-3.108343605062687,-10.946170848490764,25.293233845640536,-33.97062482852717,3.83,1.78,,,,84.9,2339,6.9,813074,665966,663993,686765,608324,596115,680776,678882,681987,53.63,,,,,,,,52,2,Sweeper,1,2,1,2,2,1,1,2,Standard,Standard,304,-0.01,0.031,,,,-0.031,,-1,-1,0.3640786211000077,0.3640786211000077,26,29,26,30,3,2,6,2,,1,3.45,-1.21,-1.21,41.2,,,,,
SI,2025-09-30,96.3,2.47,6.08,"Crochet, Garrett",641355,676979,,foul,,,,,14,Foul,F,L,L,NYY,BOS,S,,,0,0,2025,1.06,0.69,1.0,1.83,,,,0,7,Bot,,,,,,,-6.35978766803971,-139.99555726666767,-7.299601686509222,15.381068353014792,32.80261470743335,-21.65286117564727,3.8,1.78,,,,96.9,2390,6.8,813074,665966,663993,686765,608324,596115,680776,678882,681987,53.71,,,,,,,,52,1,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,141,-0.01,-0.039,72.7,8.5,,0.039,,-1,-1,0.3640786211000077,0.3640786211000077,26,29,26,30,3,2,6,2,,1,1.78,1.06,1.06,30.8,22.794347753099945,-17.620731329961647,43.35188790581451,21.1398792883454,31.673936968122845
FC,2025-09-30,88.2,1.77,6.3,"Crochet, Garrett",592450,676979,strikeout,swinging_strike,,,,,12,Aaron Judge strikes out swinging.,F,R,L,NYY,BOS,S,2.0,,3,2,2025,-0.04,0.23,0.85,3.51,,,,2,6,Bot,,,,,,,-2.1835497584210897,-128.5734998409312,-1.224906752766472,0.022103040613337,25.33369087332025,-29.616608187097683,4.06,1.84,,,,89.6,2466,7.0,813074,665966,663853,686765,608324,596115,680776,678882,681987,53.54,,0.0,0.0,1.0,0.0,0.0,,44,7,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,285,-0.003,-0.328,74.6,7.2,,0.328,,1,1,0.7031923854569085,0.7031923854569085,26,33,26,33,3,2,6,2,,1,2.68,-0.04,0.04,43.0,1.256229404779168,19.88307133451248,33.93087683460732,50.88652557898583,10.396608221401223
FF,2025-09-30,97.5,1.9,6.28,"Crochet, Garrett",592450,676979,,foul,,,,,2,Foul,F,R,L,NYY,BOS,S,,,3,2,2025,0.48,1.27,-0.24,3.74,,,,2,6,Bot,,,,,,,-6.967925290344226,-141.80146902015665,-4.284206661235057,8.032921989329196,32.50335399196739,-14.276178398574652,4.06,1.84,175.0,80.7,14.0,98.9,2493,7.1,813074,665966,663853,686765,608324,596115,680776,678882,681987,53.38,,,,,,,,44,6,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,150,0.007,0.0,79.3,7.5,,0.0,88.0,1,1,0.7031923854569085,0.7031923854569085,26,33,26,33,3,2,6,2,,1,1.13,0.48,-0.48,41.1,12.743390315375189,-0.7029993179766301,29.23481387078479,37.93828082156226,21.906619071300547
FC,2025-09-30,92.2,1.9,6.17,"Crochet, Garrett",592450,676979,,foul,,,,,4,Foul,F,R,L,NYY,BOS,S,,,3,1,2025,-0.23,0.45,-0.43,2.65,,,,2,6,Bot,,,,,,,-5.50513260465075,-134.20113109806869,-4.152480665843837,-1.5603765715681912,28.763585554201235,-26.00095740057879,4.06,1.84,149.0,101.1,9.0,93.4,2467,7.0,813074,665966,663853,686765,608324,596115,680776,678882,681987,53.52,,,,,,,,44,5,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,195,0.007,-0.086,85.2,8.7,,0.086,101.1,1,1,0.7031923854569085,0.7031923854569085,26,33,26,33,3,2,6,2,,1,2.22,-0.23,0.23,37.0,10.584019984927965,0.0271518502263871,36.97786089564509,35.74896965746832,43.91383634838383
ST,2025-09-30,83.7,1.8,6.31,"Crochet, Garrett",592450,676979,,ball,,,,,11,Ball,F,R,L,NYY,BOS,B,,,2,1,2025,-1.06,-0.53,-1.32,3.43,,,,2,6,Bot,,,,,,,-5.1663385285564525,-121.7492899959542,0.8927376330551939,-9.428555744813856,25.34326324538128,-37.81804476857182,4.07,1.84,,,,84.7,2263,7.1,813074,665966,663853,686765,608324,596115,680776,678882,681987,53.43,,,,,,,,44,4,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,311,0.007,0.117,,,,-0.117,,1,1,0.7031923854569085,0.7031923854569085,26,33,26,33,3,2,6,2,,1,3.8,-1.06,1.06,42.6,,,,,
FC,2025-09-30,90.3,1.97,6.15,"Crochet, Garrett",592450,676979,,ball,,,,,12,Ball,F,R,L,NYY,BOS,B,,,1,1,2025,-0.22,0.06,0.14,4.49,,,,2,6,Bot,,,,,,,-4.126490046117747,-131.53148059939997,1.6640667439261396,-1.8570850939345025,24.63962516779884,-32.02956908250686,4.15,1.95,,,,92.1,2383,7.0,813074,665966,663853,686765,608324,596115,680776,678882,681987,53.47,,,,,,,,44,3,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,242,0.007,0.053,,,,-0.053,,1,1,0.7031923854569085,0.7031923854569085,26,33,26,33,3,2,6,2,,1,2.71,-0.22,0.22,32.6,,,,,
CH,2025-09-30,86.0,2.04,6.05,"Crochet, Garrett",592450,676979,,ball,,,,,14,Ball,F,R,L,NYY,BOS,B,,,0,1,2025,0.14,0.21,0.14,1.65,,,,2,6,Bot,,,,,,,-4.864264717733835,-125.23212191062238,-4.753689196389705,2.3754776939413698,21.893075155868043,-29.31054312395134,4.09,1.92,,,,87.8,1122,7.1,813074,665966,663853,686765,608324,596115,680776,678882,681987,53.41,,,,,,,,44,2,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,116,0.007,0.027,,,,-0.027,,1,1,0.7031923854569085,0.7031923854569085,26,33,26,33,3,2,6,2,,1,2.84,0.14,-0.14,36.4,,,,,
FF,2025-09-30,98.6,1.97,6.02,"Crochet, Garrett",592450,676979,,called_strike,,,,,8,Called Strike,F,R,L,NYY,BOS,S,,,0,0,2025,0.43,1.13,-0.24,2.37,,,,2,6,Bot,,,,,,,-7.09349337299283,-143.3884995044506,-7.215063728560654,7.509163827322919,30.799033518772458,-15.044400674986644,4.23,1.89,,,,100.0,2535,7.0,813074,665966,663853,686765,608324,596115,680776,678882,681987,53.54,,,,,,,,44,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,129,0.007,-0.043,,,,0.043,,1,1,0.7031923854569085,0.7031923854569085,26,33,26,33,3,2,6,2,,1,1.2,0.43,-0.43,34.4,,,,,
